Archive:  800.zip
  inflating: UNdata_Export_20170908_042815795.csv  
"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Americas +","31","Area Harvested","2007","Ha","49404.00000","A "
"Americas +","31","Area Harvested","2006","Ha","49404.00000","A "
"Americas +","31","Area Harvested","2005","Ha","49404.00000","A "
"Americas +","31","Area Harvested","2004","Ha","49113.00000","A "
"Americas +","31","Area Harvested","2003","Ha","48559.00000","A "
"Americas +","31","Area Harvested","2002","Ha","48506.00000","A "
"Americas +","31","Area Harvested","2001","Ha","47767.00000","A "
"Americas +","31","Area Harvested","2000","Ha","48747.00000","A "
"Americas +","31","Area Harvested","1999","Ha","46978.00000","A "
"Americas +","31","Area Harvested","1998","Ha","48571.00000","A "
"Americas +","31","Area Harvested","1997","Ha","50904.00000","A "
"Americas +","31","Area Harvested","1996","Ha","52755.00000","A "
"Americas +","31","Area Harvested","1995","Ha","44042.00000","A "
"Americas +","31","Area Harvested","1994","Ha","56571.00000","A "
"Americas +","31","Area Harvested","1993","Ha","54693.00000","A "
"Americas +","31","Area Harvested","1992","Ha","48865.00000","A "
"Americas +","31","Area Harvested","1991","Ha","55943.00000","A "
"Americas +","31","Area Harvested","1990","Ha","53864.00000","A "
"Americas +","31","Area Harvested","1989","Ha","58821.00000","A "
"Americas +","31","Area Harvested","1988","Ha","51399.00000","A "
"Americas +","31","Area Harvested","1987","Ha","51085.00000","A "
"Americas +","31","Area Harvested","1986","Ha","47310.00000","A "
"Americas +","31","Area Harvested","1985","Ha","44993.00000","A "
"Americas +","31","Area Harvested","1984","Ha","46663.00000","A "
"Americas +","31","Area Harvested","1983","Ha","54611.00000","A "
"Americas +","31","Area Harvested","1982","Ha","53828.00000","A "
"Americas +","31","Area Harvested","1981","Ha","50825.00000","A "
"Americas +","31","Area Harvested","1980","Ha","52170.00000","A "
"Americas +","31","Area Harvested","1979","Ha","50079.00000","A "
"Americas +","31","Area Harvested","1978","Ha","49691.00000","A "
"Americas +","31","Area Harvested","1977","Ha","51006.00000","A "
"Americas +","31","Area Harvested","1976","Ha","51006.00000","A "
"Americas +","31","Area Harvested","1975","Ha","56594.00000","A "
"Americas +","31","Area Harvested","1974","Ha","42137.00000","A "
"Americas +","31","Area Harvested","1973","Ha","40170.00000","A "
"Americas +","31","Area Harvested","1972","Ha","38445.00000","A "
"Americas +","31","Area Harvested","1971","Ha","36375.00000","A "
"Americas +","31","Area Harvested","1970","Ha","35220.00000","A "
"Americas +","31","Area Harvested","1969","Ha","34151.00000","A "
"Americas +","31","Area Harvested","1968","Ha","34000.00000","A "
"Americas +","31","Area Harvested","1967","Ha","33100.00000","A "
"Americas +","31","Area Harvested","1966","Ha","32000.00000","A "
"Americas +","31","Area Harvested","1965","Ha","31600.00000","A "
"Americas +","31","Area Harvested","1964","Ha","31100.00000","A "
"Americas +","31","Area Harvested","1963","Ha","31200.00000","A "
"Americas +","31","Area Harvested","1962","Ha","30000.00000","A "
"Americas +","31","Area Harvested","1961","Ha","29500.00000","A "
"Americas +","41","Yield","2007","Hg/Ha","10921.00000","A "
"Americas +","41","Yield","2006","Hg/Ha","10921.00000","A "
"Americas +","41","Yield","2005","Hg/Ha","10921.00000","A "
"Americas +","41","Yield","2004","Hg/Ha","11188.00000","A "
"Americas +","41","Yield","2003","Hg/Ha","10842.00000","A "
